"Longitude"	"Latitude"	"Date"	"Nkill"
"101"	44.0637802950192	33.2909849442363	"2010-07-07"	1
"102"	44.0603808362774	33.3008555416631	"2010-07-07"	0
"103"	44.0738062991241	33.2838998650348	"2010-07-07"	0
"104"	44.0742125775424	33.2986087677356	"2010-07-10"	1
"105"	44.0659436540298	33.294443275892	"2010-07-11"	0
"106"	44.0750500041238	33.2895216451919	"2010-07-11"	0
"107"	44.0578318588567	33.2907205920023	"2010-07-12"	0
"108"	44.0611836405975	33.2899107515773	"2010-10-11"	0
"109"	44.0732908422771	33.3011711926813	"2010-10-11"	0
"110"	44.0665446019724	33.2860147808314	"2010-11-29"	2
"111"	44.0574279897419	33.2835614812429	"2010-12-02"	2
"112"	44.0722182835631	33.2931673891571	"2010-12-23"	1
"113"	44.0704302171936	33.2974889326429	"2011-03-09"	2
"114"	44.060836028847	33.2975360603871	"2011-03-26"	3
"115"	44.0753799917401	33.2944074245038	"2011-03-31"	1
"116"	44.064772107307	33.2869360042558	"2011-04-12"	1
"117"	44.0578217582723	33.287658392052	"2011-05-01"	1
"118"	44.06428906063	33.2984831150909	"2011-06-11"	1
"119"	44.0674285727033	33.2943981450851	"2011-06-24"	2
"120"	44.0587367389669	33.2986407395414	"2011-06-25"	2
"121"	44.0650438088916	33.2887010439819	"2011-06-27"	0
"122"	44.0637763140436	33.2901015625669	"2011-06-28"	1
"123"	44.056893245265	33.2952835846514	"2011-07-06"	0
"124"	44.0584430929824	33.2918888947422	"2011-07-06"	1
"125"	44.0580119114967	33.2952392378411	"2011-07-14"	1
"126"	44.055813766638	33.2845460182297	"2011-08-02"	2
"127"	44.0719212404631	33.2859407152756	"2011-08-07"	2
"128"	44.0743768768005	33.2851625006049	"2011-08-17"	1
"129"	44.0721069554418	33.2936747413789	"2011-09-17"	1
"130"	44.0627025554135	33.3013730545583	"2011-09-28"	5
"131"	44.0637675284633	33.2862219117171	"2011-10-11"	0
"132"	44.0705354832245	33.2913550684562	"2011-10-24"	1
"133"	44.0562928495641	33.2895738701251	"2011-11-07"	0
"134"	44.0748438105259	33.2876318676591	"2011-11-08"	0
"135"	44.0729811086405	33.296473810939	"2011-11-18"	1.34
"136"	44.0674291560186	33.2924722133166	"2011-11-18"	1.33
"137"	44.0610283088909	33.2854587843231	"2011-11-18"	1.33
"138"	44.0628213545486	33.2848693425309	"2011-11-26"	9
"139"	44.0707569024518	33.2969425301402	"2011-11-27"	1
"140"	44.0674329917777	33.2924990839892	"2011-12-04"	4
"141"	44.0566832492865	33.2952527765519	"2011-12-07"	1
"142"	44.0574357942949	33.2856103285317	"2011-12-17"	3
"143"	44.0604893094247	33.2872293359049	"2011-12-21"	1
"144"	44.073166590714	33.2854783837505	"2011-12-25"	4
"145"	44.0609516429979	33.2875553015759	"2012-01-03"	2
"146"	44.0659239839375	33.2845374851581	"2012-01-03"	0
"147"	44.0691368835877	33.2855336760458	"2012-01-04"	2
"148"	44.0736541483536	33.2869478478516	"2012-01-24"	5
"149"	44.0576448927719	33.2933315100017	"2012-02-07"	1
"150"	44.0749819049417	33.285980468938	"2012-02-10"	0
"151"	44.074973100288	33.2876236444627	"2012-04-29"	1
"152"	44.0588679783038	33.2952393871088	"2012-05-21"	1
"153"	44.070684048975	33.2930456631359	"2012-05-21"	1
"154"	44.0639515339203	33.2854722451566	"2012-05-29"	1
"155"	44.0726830119958	33.2962301656379	"2012-06-07"	1
"156"	44.0712569489462	33.2839464221251	"2012-06-13"	0.75
"157"	44.0740312670489	33.3010914533174	"2012-06-13"	0.75
"158"	44.0584092718355	33.2819820807929	"2012-06-13"	0.75
"159"	44.0734342991367	33.2873115491503	"2012-06-13"	0.75
"160"	44.0646949567684	33.287932380718	"2012-06-14"	1
"161"	44.0729275296062	33.2950450595197	"2012-06-30"	1
"162"	44.0739483527785	33.2985927100674	"2012-07-31"	1
"163"	44.0586861747495	33.2890033632618	"2012-08-02"	4
"164"	44.0677322015671	33.2921107008875	"2012-08-02"	1
"165"	44.0695044848641	33.287912942414	"2012-08-03"	3
"166"	44.0594332843778	33.2871510230525	"2012-08-03"	1
"167"	44.0602332634564	33.2950297857689	"2012-08-25"	1
"168"	44.0740272993028	33.2839434268194	"2012-09-09"	5
"169"	44.4257797701219	33.3306349232001	"2012-10-09"	3
"170"	44.0591272731583	33.2986809492818	"2012-10-23"	0
"171"	44.0672597060438	33.301672634418	"2012-10-23"	2
"172"	44.0626778817681	33.2838391269891	"2012-12-12"	2
"173"	44.0678513180363	33.3009536024517	"2012-12-12"	1
"174"	44.0730472353838	33.2972200965191	"2012-12-12"	0
"175"	44.0679369680948	33.295814780752	"2013-01-01"	2
"176"	44.0714191304419	33.2819589691338	"2013-01-21"	0
"177"	44.0685998807426	33.3023475839541	"2013-03-05"	1
"178"	44.0738015046382	33.2929974935957	"2013-03-06"	1
"179"	44.0676638760922	33.2924909703022	"2013-03-18"	3
"180"	44.0647354454074	33.2859984523019	"2013-03-18"	1
"181"	44.0610639911707	33.3004930514945	"2013-03-31"	2
"182"	44.0588521652381	33.2896815584934	"2013-04-03"	2
"183"	44.0637278954304	33.2907403763066	"2013-04-05"	3
"184"	44.0739490365136	33.3011885469601	"2013-04-08"	2
"185"	44.0586917619259	33.2902991481506	"2013-04-12"	0
"186"	44.0621523353213	33.2941942795613	"2013-04-17"	2
"187"	44.0725351888954	33.2977703894084	"2013-04-17"	2
"188"	44.0685188545465	33.2964991138045	"2013-05-05"	1
"189"	44.0660023915061	33.2937875635837	"2013-05-10"	1
"190"	44.0654955576678	33.2961872111409	"2013-05-21"	5
"191"	44.0741694684738	33.2857999721271	"2013-05-21"	0
"192"	44.0691178309397	33.2980364737947	"2013-05-23"	0
"193"	44.0675425290029	33.2856700785419	"2013-05-29"	12
"194"	44.0587430490033	33.2982482723294	"2013-06-03"	1
"195"	44.0717897525382	33.3092480848729	"2013-06-28"	3
"196"	44.060356116457	33.3013397501184	"2013-07-02"	1
"197"	44.0751458849843	33.3006109473397	"2013-07-02"	3
"198"	44.0743691936321	33.2994374375874	"2013-07-03"	2
"199"	44.0674202036803	33.2826224491474	"2013-07-11"	0
"200"	44.0675692578956	33.2911619292394	"2013-07-21"	14
"201"	44.0660768499118	33.288059325893	"2013-07-31"	2
"202"	44.0742894945844	33.2956848771366	"2013-08-04"	2
"203"	44.0622583190861	33.3000619823486	"2013-08-11"	3
"204"	44.0396196248943	33.3120960310953	"2013-08-21"	2
"205"	44.0702294779375	33.2995381741932	"2013-08-23"	0
"206"	44.0485024337752	33.3093199770259	"2013-08-29"	5
"207"	44.0573546264545	33.3015163678917	"2013-08-29"	1
"208"	44.0710855514828	33.2873158703194	"2013-09-14"	3
"209"	44.0556715754551	33.2899514978946	"2013-09-19"	9
"210"	44.0692922065104	33.2999441308277	"2013-10-23"	2
"211"	44.1126574822487	33.295342146558	"2013-10-23"	1
"212"	44.0672600768157	33.2913059299607	"2013-10-28"	3
"213"	44.1143712863018	33.2971009159081	"2013-10-30"	3
"214"	44.0698382934222	33.2850999223961	"2013-11-06"	2
"215"	44.1029177078788	33.3012446268937	"2013-11-06"	0
"216"	44.0680089880425	33.2827142373667	"2013-11-13"	1
"217"	44.0557651990551	33.2936687642297	"2013-11-20"	3
"218"	44.0981322240339	33.3050892965487	"2013-11-22"	1
"219"	44.0742724038233	33.2977938242078	"2013-11-27"	9
"220"	44.0570249533506	33.2929247180706	"2013-11-27"	1
"221"	44.0751411739869	33.2831924726822	"2013-11-29"	1
"222"	44.0582705834174	33.2937639474039	"2013-11-30"	1
